adm0_name,adm1_name,policy,policy_description_long,optional,date_start,travel_ban_intl_out_opt_country_list,travel_ban_intl_in_country_list,source,accessed_date,notes
KOR,Gyeongsangbuk-do,emergency_declaration,"Declared Special Management Area (Daegu, Gyeongbuk, Gyeongsan, Cheongdo, Bonghwa) ",N,2020-03-15,,,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=1241&contSeq=1241&board_id=311&gubun=BDC,03/17/2020,"특별재난지역선포(대구, 경북 경산·청도·봉화)"
KOR,All,travel_ban_intl_in,"To prevent further imported cases, special immigration procedures will be expanded to the European region in response to the recent rapid increase of local transmission. The procedures will begin to take effect at 0:00 of 15 March for all Korean and international travelers arriving after having visited or lived in France, Germany, Spain, the U.K. or the Netherlands.",N,2020-03-15,,"""['China', 'Hongkong', 'Macau', 'Italy', 'Iran', 'France', 'Germany', 'Spain', 'UK', 'Netherlands']""",https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366537&tag=&nPage=1,03/17/2020,
KOR,All,travel_ban_intl_in,"Special Entry Procedure has been extended to travelers from all European regions as of 0:00, 16 March, which requires the traveler to provide a confirmed contact information and report their symptoms daily for the next 14 days via self-diagnosis app on their mobile device.",N,2020-03-16,,"""['China', 'Hongkong', 'Macau', 'Italy', 'Iran', 'All Europe']""",https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366568&tag=&nPage=1,03/17/2020,
KOR,All,travel_ban_intl_out,No travel recommendation,Y,2020-03-16,"""['China', 'Hongkong', 'Macau', 'Italy', 'Japan', 'All Europe']""",,http://www.0404.go.kr/dev/newest_view.mofa?id=ATC0000000007723&pagenum=1&mst_id=MST0000000000040&ctnm=&div_cd=&st=title&stext=,03/17/2020,
KOR,All,no_gathering,"In light of the recent emergence of new confirmed cases by local transmission at close-contact indoor gatherings, the KCDC again strongly recommended that all such gatherings be canceled or refrained as best as possible.",Y,2020-03-16,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366568&tag=&nPage=3,03/25/2020,
KOR,Gyeonggi-do,business_closure,"Karaoke, Cyber cafes, etc.",Y,2020-03-18,,,https://www.asiatime.co.kr/news/newsview.php?ncode=1065600175395938,03/25/2020,
KOR,All,travel_ban_intl_out,The KCDC strongly recommended canceling or delaying of all international travel on non-urgent matters. ,Y,2020-03-18,"""['All Countries']""",,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366586&tag=&nPage=2,03/25/2020,
KOR,All,travel_ban_intl_in,"In light of the recent rapid rise in the number of COVID-19 cases in Europe (including Italy, France, and Spain), the U.S., and the Middle East region, as well as the rise in the number of imported cases found both at airport quarantine and in communities, the KCDC announced that the Special Entry Procedure has been extended to all travelers arriving at port beginning at 0:00 of 19 March. ",N,2020-03-19,,"""['All Countries']""",https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,03/25/2020,"중앙방역대책본부는 이탈리아, 프랑스, 스페인 등 유럽지역과 미국, 중동지역에서 코로나 19 환자가 급증하고 있으며, 최근 검역과정 및 입국후 지역사회에서 해외 입국자 확진사례가 증가하고 있어 3월 19일 0시를 기해 전세계 모든 입국자에 대해 특별입국절차를 확대 시행하였다."
KOR,All,pos_cases_quarantine,Anyone having respiratory symptoms at the point of entry or epidemiological links with confirmed cases will be quarantined for testing at quarantine station. The inbound travelers with no symptoms will stay at temporary support facilities by getting the result of test.,N,2020-03-22,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366621&tag=&nPage=2,03/25/2020,
KOR,All,testing_regime,"Since 22 March, every inbound traveler from Europe is required to be tested. Also, in light of the recent surge in COVID-19 cases in the United States and the rise in the number of imported cases from the US, starting 0:00 of 27 March, a stronger screening process will be applied for inbound travelers from the United States.",N,2020-03-22,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366650&tag=&nPage=1,03/25/2020,
KOR,All,testing_regime,"Starting 0:00 of 27 March, a stronger screening process will be applied for inbound travelers from the United States. All symptomatic persons entering from the US, regardless of nationality, will be required to wait for testing in a facility within the airport. Persons who test positive will be transferred to a hospital or “Living Treatment Center”. Persons who test negative will enter self-quarantine at home for 14 days. Korean nationals and foreigners with a domestic residence who are asymptomatic at the time of entry will enter self-quarantine in their home for 14 days and get tested if symptoms begin to occur. Foreigners who are on a short-term visit (without domestic residence and thus are unable to self-quarantine) will be tested in at a temporary facility. ",N,2020-03-27,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366670&tag=&nPage=1,03/28/2020,
