date,adm0_name,adm1_name,cum_confirmed_cases,active_cases,cum_deaths,cum_recoveries
2020-03-19,China,Beijing,480,92,8,380
2020-03-20,China,Beijing,491,93,8,390
2020-03-21,China,Beijing,504,100,8,396
2020-03-22,China,Beijing,522,114,8,400
2020-03-23,China,Beijing,537,129,8,400
2020-03-24,China,Beijing,558,149,8,401
2020-03-25,China,Beijing,561,150,8,403
2020-03-26,China,Beijing,566,152,8,406
2020-03-27,China,Beijing,569,153,8,408
2020-03-28,China,Beijing,573,155,8,410
2020-03-29,China,Beijing,577,157,8,412
2020-03-30,China,Beijing,577,154,8,415
2020-03-31,China,Beijing,580,154,8,418
2020-04-01,China,Beijing,580,154,8,418
2020-04-02,China,Beijing,582,150,8,424
2020-04-03,China,Beijing,584,142,8,434
2020-04-04,China,Beijing,585,139,8,438
2020-04-05,China,Beijing,586,137,8,441
2020-04-06,China,Beijing,587,136,8,443
2020-04-07,China,Beijing,587,131,8,448
2020-04-08,China,Beijing,588,125,8,455
2020-04-09,China,Beijing,588,116,8,464
2020-04-10,China,Beijing,588,111,8,469
2020-04-11,China,Beijing,589,107,8,474
2020-04-12,China,Beijing,589,102,8,479
2020-04-13,China,Beijing,589,97,8,484
2020-04-14,China,Beijing,589,90,8,491
2020-04-15,China,Beijing,590,87,8,495
2020-04-16,China,Beijing,593,82,8,503
2020-04-17,China,Beijing,593,76,8,509
2020-04-18,China,Beijing,593,76,8,509
2020-01-22,China,Chongqing,6,6,0,0
2020-01-23,China,Chongqing,9,9,0,0
2020-01-24,China,Chongqing,27,27,0,0
2020-01-25,China,Chongqing,57,57,0,0
2020-01-26,China,Chongqing,75,75,0,0
2020-01-27,China,Chongqing,110,110,0,0
2020-01-28,China,Chongqing,132,132,0,0
2020-01-29,China,Chongqing,147,146,0,1
2020-01-30,China,Chongqing,182,181,0,1
2020-01-31,China,Chongqing,211,210,0,1
2020-02-01,China,Chongqing,247,243,1,3
2020-02-02,China,Chongqing,300,291,2,7
2020-02-03,China,Chongqing,337,326,2,9
2020-02-04,China,Chongqing,366,355,2,9
2020-02-05,China,Chongqing,389,372,2,15
2020-02-06,China,Chongqing,411,385,2,24
2020-02-07,China,Chongqing,426,393,2,31
2020-02-08,China,Chongqing,428,387,2,39
2020-02-09,China,Chongqing,468,415,2,51
2020-02-10,China,Chongqing,486,418,2,66
2020-02-11,China,Chongqing,505,423,3,79
2020-02-12,China,Chongqing,518,413,3,102
2020-02-13,China,Chongqing,529,397,4,128
2020-02-14,China,Chongqing,537,380,5,152
2020-02-15,China,Chongqing,544,355,5,184
2020-02-16,China,Chongqing,551,339,5,207
2020-02-17,China,Chongqing,553,323,5,225
2020-02-18,China,Chongqing,555,296,5,254
2020-02-19,China,Chongqing,560,281,5,274
2020-02-20,China,Chongqing,567,262,6,299
2020-02-21,China,Chongqing,572,250,6,316
2020-02-22,China,Chongqing,573,239,6,328
2020-02-23,China,Chongqing,575,234,6,335
2020-02-24,China,Chongqing,576,221,6,349
2020-02-25,China,Chongqing,576,198,6,372
2020-02-26,China,Chongqing,576,186,6,384
2020-02-27,China,Chongqing,576,169,6,401
2020-02-28,China,Chongqing,576,148,6,422
2020-02-29,China,Chongqing,576,132,6,438
2020-03-01,China,Chongqing,576,120,6,450
2020-03-02,China,Chongqing,576,101,6,469
2020-03-03,China,Chongqing,576,80,6,490
2020-03-04,China,Chongqing,576,68,6,502
2020-03-05,China,Chongqing,576,58,6,512
2020-03-06,China,Chongqing,576,57,6,513
2020-03-07,China,Chongqing,576,44,6,526
2020-03-08,China,Chongqing,576,43,6,527
2020-03-09,China,Chongqing,576,28,6,542
2020-03-10,China,Chongqing,576,23,6,547
2020-03-11,China,Chongqing,576,16,6,554
2020-03-12,China,Chongqing,576,6,6,564
2020-03-13,China,Chongqing,576,4,6,566
2020-03-14,China,Chongqing,576,1,6,569
2020-03-15,China,Chongqing,576,0,6,570
2020-03-16,China,Chongqing,576,0,6,570
2020-03-17,China,Chongqing,576,0,6,570
2020-03-18,China,Chongqing,576,0,6,570
2020-03-19,China,Chongqing,576,0,6,570
2020-03-20,China,Chongqing,576,0,6,570
2020-03-21,China,Chongqing,576,0,6,570
2020-03-22,China,Chongqing,577,1,6,570
2020-03-23,China,Chongqing,578,2,6,570
2020-03-24,China,Chongqing,578,2,6,570
2020-03-25,China,Chongqing,578,2,6,570
2020-03-26,China,Chongqing,578,2,6,570
2020-03-27,China,Chongqing,578,2,6,570
2020-03-28,China,Chongqing,578,2,6,570
2020-03-29,China,Chongqing,579,3,6,570
2020-03-30,China,Chongqing,579,3,6,570
2020-03-31,China,Chongqing,579,3,6,570
2020-04-01,China,Chongqing,579,3,6,570
2020-04-02,China,Chongqing,579,3,6,570
2020-04-03,China,Chongqing,579,3,6,570
2020-04-04,China,Chongqing,579,3,6,570
2020-04-05,China,Chongqing,579,3,6,570
2020-04-06,China,Chongqing,579,3,6,570
2020-04-07,China,Chongqing,579,3,6,570
2020-04-08,China,Chongqing,579,3,6,570
2020-04-09,China,Chongqing,579,3,6,570
2020-04-10,China,Chongqing,579,3,6,570
2020-04-11,China,Chongqing,579,3,6,570
2020-04-12,China,Chongqing,579,3,6,570
2020-04-13,China,Chongqing,579,3,6,570
2020-04-14,China,Chongqing,579,3,6,570
2020-04-15,China,Chongqing,579,3,6,570
2020-04-16,China,Chongqing,579,3,6,570
2020-04-17,China,Chongqing,579,3,6,570
2020-04-18,China,Chongqing,579,3,6,570
2020-01-22,China,Fujian,1,1,0,0
2020-01-23,China,Fujian,5,5,0,0
2020-01-24,China,Fujian,10,10,0,0
2020-01-25,China,Fujian,18,18,0,0
2020-01-26,China,Fujian,35,35,0,0
2020-01-27,China,Fujian,59,59,0,0
2020-01-28,China,Fujian,80,80,0,0
2020-01-29,China,Fujian,84,84,0,0
2020-01-30,China,Fujian,101,101,0,0
2020-01-31,China,Fujian,120,120,0,0
2020-02-01,China,Fujian,144,144,0,0
2020-02-02,China,Fujian,159,159,0,0
2020-02-03,China,Fujian,179,178,0,1
2020-02-04,China,Fujian,194,191,0,3
2020-02-05,China,Fujian,205,194,0,11
2020-02-06,China,Fujian,215,201,0,14
2020-02-07,China,Fujian,224,204,0,20
2020-02-08,China,Fujian,239,215,0,24
2020-02-09,China,Fujian,250,215,0,35
2020-02-10,China,Fujian,261,222,0,39
2020-02-11,China,Fujian,267,222,0,45
2020-02-12,China,Fujian,272,219,0,53
2020-02-13,China,Fujian,279,222,0,57
2020-02-14,China,Fujian,281,218,0,63
2020-02-15,China,Fujian,285,214,0,71
2020-02-16,China,Fujian,287,205,0,82
2020-02-17,China,Fujian,290,200,0,90
2020-02-18,China,Fujian,292,199,0,93
2020-02-19,China,Fujian,293,181,0,112
2020-02-20,China,Fujian,293,166,1,126
2020-02-21,China,Fujian,293,143,1,149
2020-02-22,China,Fujian,293,130,1,162
2020-02-23,China,Fujian,293,122,1,170
2020-02-24,China,Fujian,293,109,1,183
2020-02-25,China,Fujian,294,94,1,199
2020-02-26,China,Fujian,294,75,1,218
2020-02-27,China,Fujian,296,67,1,228
2020-02-28,China,Fujian,296,60,1,235
2020-02-29,China,Fujian,296,52,1,243
2020-03-01,China,Fujian,296,48,1,247
2020-03-02,China,Fujian,296,40,1,255
2020-03-03,China,Fujian,296,35,1,260
2020-03-04,China,Fujian,296,25,1,270
2020-03-05,China,Fujian,296,18,1,277
2020-03-06,China,Fujian,296,11,1,284
2020-03-07,China,Fujian,296,0,1,295
2020-03-08,China,Fujian,296,0,1,295
2020-03-09,China,Fujian,296,0,1,295
2020-03-10,China,Fujian,296,0,1,295
2020-03-11,China,Fujian,296,0,1,295
2020-03-12,China,Fujian,296,0,1,295
2020-03-13,China,Fujian,296,0,1,295
2020-03-14,China,Fujian,296,0,1,295
2020-03-15,China,Fujian,296,0,1,295
2020-03-16,China,Fujian,296,0,1,295
2020-03-17,China,Fujian,296,0,1,295
2020-03-18,China,Fujian,296,0,1,295
2020-03-19,China,Fujian,296,0,1,295
2020-03-20,China,Fujian,299,3,1,295
2020-03-21,China,Fujian,303,7,1,295
2020-03-22,China,Fujian,313,17,1,295
2020-03-23,China,Fujian,313,17,1,295
2020-03-24,China,Fujian,318,22,1,295
2020-03-25,China,Fujian,322,26,1,295
2020-03-26,China,Fujian,328,32,1,295
2020-03-27,China,Fujian,331,35,1,295
2020-03-28,China,Fujian,337,41,1,295
2020-03-29,China,Fujian,338,42,1,295
2020-03-30,China,Fujian,340,44,1,295
2020-03-31,China,Fujian,343,47,1,295
2020-04-01,China,Fujian,345,46,1,298
2020-04-02,China,Fujian,345,45,1,299
2020-04-03,China,Fujian,349,48,1,300
2020-04-04,China,Fujian,350,48,1,301
2020-04-05,China,Fujian,350,46,1,303
2020-04-06,China,Fujian,350,44,1,305
2020-04-07,China,Fujian,351,45,1,305
2020-04-08,China,Fujian,351,42,1,308
2020-04-09,China,Fujian,351,42,1,308
2020-04-10,China,Fujian,351,39,1,311
2020-04-11,China,Fujian,351,33,1,317
2020-04-12,China,Fujian,352,30,1,321
2020-04-13,China,Fujian,352,26,1,325
2020-04-14,China,Fujian,353,23,1,329
2020-04-15,China,Fujian,353,21,1,331
2020-04-16,China,Fujian,353,19,1,333
2020-04-17,China,Fujian,354,19,1,334
2020-04-18,China,Fujian,355,18,1,336
2020-01-22,China,Gansu,0,0,0,0
2020-01-23,China,Gansu,2,2,0,0
2020-01-24,China,Gansu,2,2,0,0
2020-01-25,China,Gansu,4,4,0,0
2020-01-26,China,Gansu,7,7,0,0
2020-01-27,China,Gansu,14,14,0,0
2020-01-28,China,Gansu,19,19,0,0
2020-01-29,China,Gansu,24,24,0,0
2020-01-30,China,Gansu,26,26,0,0
2020-01-31,China,Gansu,29,29,0,0
2020-02-01,China,Gansu,40,40,0,0
2020-02-02,China,Gansu,51,48,0,3
2020-02-03,China,Gansu,55,52,0,3
2020-02-04,China,Gansu,57,53,0,4
2020-02-05,China,Gansu,62,56,0,6
2020-02-06,China,Gansu,62,56,0,6
2020-02-07,China,Gansu,67,58,0,9
2020-02-08,China,Gansu,79,66,1,12
2020-02-09,China,Gansu,83,65,2,16
2020-02-10,China,Gansu,83,64,2,17
2020-02-11,China,Gansu,86,60,2,24
2020-02-12,China,Gansu,87,54,2,31
2020-02-13,China,Gansu,90,49,2,39
2020-02-14,China,Gansu,90,49,2,39
2020-02-15,China,Gansu,90,39,2,49
2020-02-16,China,Gansu,90,34,2,54
2020-02-17,China,Gansu,91,31,2,58
2020-02-18,China,Gansu,91,27,2,62
2020-02-19,China,Gansu,91,24,2,65
2020-02-20,China,Gansu,91,18,2,71
2020-02-21,China,Gansu,91,13,2,76
2020-02-22,China,Gansu,91,13,2,76
2020-02-23,China,Gansu,91,11,2,78
2020-02-24,China,Gansu,91,9,2,80
2020-02-25,China,Gansu,91,9,2,80
2020-02-26,China,Gansu,91,8,2,81
2020-02-27,China,Gansu,91,8,2,81
2020-02-28,China,Gansu,91,7,2,82
2020-02-29,China,Gansu,91,7,2,82
2020-03-01,China,Gansu,91,5,2,84
2020-03-02,China,Gansu,91,4,2,85
2020-03-03,China,Gansu,91,3,2,86
2020-03-04,China,Gansu,91,2,2,87
2020-03-05,China,Gansu,102,13,2,87
2020-03-06,China,Gansu,119,30,2,87
2020-03-07,China,Gansu,120,31,2,87
2020-03-08,China,Gansu,124,35,2,87
2020-03-09,China,Gansu,124,34,2,88
2020-03-10,China,Gansu,125,35,2,88
2020-03-11,China,Gansu,127,37,2,88
2020-03-12,China,Gansu,127,37,2,88
2020-03-13,China,Gansu,127,37,2,88
2020-03-14,China,Gansu,129,38,2,89
2020-03-15,China,Gansu,133,40,2,91
2020-03-16,China,Gansu,133,40,2,91
2020-03-17,China,Gansu,133,40,2,91
2020-03-18,China,Gansu,133,40,2,91
2020-03-19,China,Gansu,134,41,2,91
2020-03-20,China,Gansu,134,34,2,98
2020-03-21,China,Gansu,134,19,2,113
2020-03-22,China,Gansu,136,20,2,114
2020-03-23,China,Gansu,136,20,2,114
2020-03-24,China,Gansu,136,15,2,119
2020-03-25,China,Gansu,136,15,2,119
2020-03-26,China,Gansu,136,13,2,121
2020-03-27,China,Gansu,136,11,2,123
2020-03-28,China,Gansu,136,9,2,125
2020-03-29,China,Gansu,138,11,2,125
2020-03-30,China,Gansu,138,11,2,125
2020-03-31,China,Gansu,138,11,2,125
2020-04-01,China,Gansu,138,9,2,127
2020-04-02,China,Gansu,138,9,2,127
2020-04-03,China,Gansu,138,9,2,127
2020-04-04,China,Gansu,138,5,2,131
2020-04-05,China,Gansu,138,5,2,131
2020-04-06,China,Gansu,139,5,2,132
2020-04-07,China,Gansu,139,5,2,132
2020-04-08,China,Gansu,139,4,2,133
2020-04-09,China,Gansu,139,2,2,135
2020-04-10,China,Gansu,139,2,2,135
2020-04-11,China,Gansu,139,2,2,135
2020-04-12,China,Gansu,139,2,2,135
2020-04-13,China,Gansu,139,2,2,135
2020-04-14,China,Gansu,139,1,2,136
2020-04-15,China,Gansu,139,1,2,136
2020-04-16,China,Gansu,139,0,2,137
2020-04-17,China,Gansu,139,0,2,137
2020-04-18,China,Gansu,139,0,2,137
2020-01-22,China,Guangdong,26,26,0,0
2020-01-23,China,Guangdong,32,30,0,2
2020-01-24,China,Guangdong,53,51,0,2
2020-01-25,China,Guangdong,78,76,0,2
2020-01-26,China,Guangdong,111,109,0,2
2020-01-27,China,Guangdong,151,147,0,4
2020-01-28,China,Guangdong,207,203,0,4
2020-01-29,China,Guangdong,277,272,0,5
2020-01-30,China,Guangdong,354,344,0,10
2020-01-31,China,Guangdong,436,425,0,11
2020-02-01,China,Guangdong,535,521,0,14
2020-02-02,China,Guangdong,632,617,0,15
2020-02-03,China,Guangdong,725,704,0,21
2020-02-04,China,Guangdong,813,783,0,30
2020-02-05,China,Guangdong,895,846,0,49
2020-02-06,China,Guangdong,970,901,0,69
2020-02-07,China,Guangdong,1034,945,1,88
2020-02-08,China,Guangdong,1095,982,1,112
2020-02-09,China,Guangdong,1131,989,1,141
2020-02-10,China,Guangdong,1159,991,1,167
2020-02-11,China,Guangdong,1177,964,1,212
2020-02-12,China,Guangdong,1219,943,1,275
2020-02-13,China,Guangdong,1241,925,2,314
2020-02-14,China,Guangdong,1261,897,2,362
2020-02-15,China,Guangdong,1294,882,2,410
2020-02-16,China,Guangdong,1316,849,2,465
2020-02-17,China,Guangdong,1322,794,4,524
2020-02-18,China,Guangdong,1328,759,4,565
2020-02-19,China,Guangdong,1331,720,5,606
2020-02-20,China,Guangdong,1332,685,5,642
2020-02-21,China,Guangdong,1333,638,5,690
2020-02-22,China,Guangdong,1339,606,5,728
2020-02-23,China,Guangdong,1342,581,6,755
2020-02-24,China,Guangdong,1345,553,6,786
2020-02-25,China,Guangdong,1347,518,7,822
2020-02-26,China,Guangdong,1347,489,7,851
2020-02-27,China,Guangdong,1347,450,7,890
2020-02-28,China,Guangdong,1348,406,7,935
2020-02-29,China,Guangdong,1349,359,7,983
2020-03-01,China,Guangdong,1349,326,7,1016
2020-03-02,China,Guangdong,1350,284,7,1059
2020-03-03,China,Guangdong,1350,242,7,1101
2020-03-04,China,Guangdong,1350,210,7,1133
2020-03-05,China,Guangdong,1351,163,7,1181
2020-03-06,China,Guangdong,1352,129,7,1216
2020-03-07,China,Guangdong,1352,108,7,1237
2020-03-08,China,Guangdong,1352,89,7,1256
2020-03-09,China,Guangdong,1352,84,8,1260
2020-03-10,China,Guangdong,1353,71,8,1274
2020-03-11,China,Guangdong,1356,66,8,1282
2020-03-12,China,Guangdong,1356,59,8,1289
2020-03-13,China,Guangdong,1356,52,8,1296
2020-03-14,China,Guangdong,1356,49,8,1299
2020-03-15,China,Guangdong,1360,48,8,1304
2020-03-16,China,Guangdong,1361,47,8,1306
2020-03-17,China,Guangdong,1364,49,8,1307
2020-03-18,China,Guangdong,1370,49,8,1313
2020-03-19,China,Guangdong,1378,52,8,1318
2020-03-20,China,Guangdong,1395,64,8,1323
2020-03-21,China,Guangdong,1400,67,8,1325
2020-03-22,China,Guangdong,1413,76,8,1329
2020-03-23,China,Guangdong,1415,75,8,1332
2020-03-24,China,Guangdong,1428,87,8,1333
2020-03-25,China,Guangdong,1433,89,8,1336
2020-03-26,China,Guangdong,1448,104,8,1336
2020-03-27,China,Guangdong,1456,111,8,1337
2020-03-28,China,Guangdong,1467,118,8,1341
2020-03-29,China,Guangdong,1475,118,8,1349
2020-03-30,China,Guangdong,1484,125,8,1351
2020-03-31,China,Guangdong,1494,130,8,1356
2020-04-01,China,Guangdong,1501,136,8,1357
2020-04-02,China,Guangdong,1507,134,8,1365
2020-04-03,China,Guangdong,1514,138,8,1368
2020-04-04,China,Guangdong,1516,130,8,1378
2020-04-05,China,Guangdong,1524,129,8,1387
2020-04-06,China,Guangdong,1532,129,8,1395
2020-04-07,China,Guangdong,1533,124,8,1401
2020-04-08,China,Guangdong,1536,117,8,1411
2020-04-09,China,Guangdong,1539,108,8,1423
2020-04-10,China,Guangdong,1544,102,8,1434
2020-04-11,China,Guangdong,1548,103,8,1437
2020-04-12,China,Guangdong,1552,101,8,1443
2020-04-13,China,Guangdong,1555,93,8,1454
2020-04-14,China,Guangdong,1564,98,8,1458
2020-04-15,China,Guangdong,1566,96,8,1462
2020-04-16,China,Guangdong,1571,92,8,1471
2020-04-17,China,Guangdong,1577,94,8,1475
2020-04-18,China,Guangdong,1579,89,8,1482
2020-01-22,China,Guangxi,2,2,0,0
2020-01-23,China,Guangxi,5,5,0,0
2020-01-24,China,Guangxi,23,23,0,0
2020-01-25,China,Guangxi,23,23,0,0
2020-01-26,China,Guangxi,36,36,0,0
2020-01-27,China,Guangxi,46,46,0,0
2020-01-28,China,Guangxi,51,49,0,2
2020-01-29,China,Guangxi,58,56,0,2
2020-01-30,China,Guangxi,78,76,0,2
2020-01-31,China,Guangxi,87,85,0,2
2020-02-01,China,Guangxi,100,98,0,2
2020-02-02,China,Guangxi,111,109,0,2
2020-02-03,China,Guangxi,127,120,0,7
2020-02-04,China,Guangxi,139,129,0,10
2020-02-05,China,Guangxi,150,137,0,13
2020-02-06,China,Guangxi,168,154,0,14
2020-02-07,China,Guangxi,172,155,0,17
2020-02-08,China,Guangxi,183,166,0,17
2020-02-09,China,Guangxi,195,176,1,18
2020-02-10,China,Guangxi,210,185,1,24
2020-02-11,China,Guangxi,215,181,1,33
2020-02-12,China,Guangxi,222,189,1,32
2020-02-13,China,Guangxi,222,187,2,33
2020-02-14,China,Guangxi,226,188,2,36
2020-02-15,China,Guangxi,235,189,2,44
2020-02-16,China,Guangxi,237,186,2,49
2020-02-17,China,Guangxi,238,183,2,53
2020-02-18,China,Guangxi,242,171,2,69
2020-02-19,China,Guangxi,244,156,2,86
2020-02-20,China,Guangxi,245,153,2,90
2020-02-21,China,Guangxi,246,147,2,97
2020-02-22,China,Guangxi,249,143,2,104
2020-02-23,China,Guangxi,249,141,2,106
2020-02-24,China,Guangxi,251,137,2,112
2020-02-25,China,Guangxi,252,116,2,134
2020-02-26,China,Guangxi,252,103,2,147
2020-02-27,China,Guangxi,252,89,2,161
2020-02-28,China,Guangxi,252,82,2,168
2020-02-29,China,Guangxi,252,74,2,176
2020-03-01,China,Guangxi,252,69,2,181
2020-03-02,China,Guangxi,252,58,2,192
2020-03-03,China,Guangxi,252,48,2,202
2020-03-04,China,Guangxi,252,40,2,210
2020-03-05,China,Guangxi,252,36,2,214
2020-03-06,China,Guangxi,252,33,2,217
2020-03-07,China,Guangxi,252,32,2,218
2020-03-08,China,Guangxi,252,27,2,223
2020-03-09,China,Guangxi,252,20,2,230
2020-03-10,China,Guangxi,252,16,2,234
2020-03-11,China,Guangxi,252,12,2,238
2020-03-12,China,Guangxi,252,9,2,241
2020-03-13,China,Guangxi,252,7,2,243
2020-03-14,China,Guangxi,252,7,2,243
2020-03-15,China,Guangxi,252,7,2,243
2020-03-16,China,Guangxi,252,2,2,248
2020-03-17,China,Guangxi,253,3,2,248
2020-03-18,China,Guangxi,253,1,2,250
2020-03-19,China,Guangxi,253,1,2,250
2020-03-20,China,Guangxi,254,2,2,250
2020-03-21,China,Guangxi,254,2,2,250
2020-03-22,China,Guangxi,254,2,2,250
2020-03-23,China,Guangxi,254,2,2,250
2020-03-24,China,Guangxi,254,2,2,250
2020-03-25,China,Guangxi,254,2,2,250
2020-03-26,China,Guangxi,254,2,2,250
2020-03-27,China,Guangxi,254,2,2,250
2020-03-28,China,Guangxi,254,2,2,250
2020-03-29,China,Guangxi,254,2,2,250
2020-03-30,China,Guangxi,254,2,2,250
2020-03-31,China,Guangxi,254,2,2,250
2020-04-01,China,Guangxi,254,2,2,250
2020-04-02,China,Guangxi,254,0,2,252
2020-04-03,China,Guangxi,254,0,2,252
2020-04-04,China,Guangxi,254,0,2,252
2020-04-05,China,Guangxi,254,0,2,252
2020-04-06,China,Guangxi,254,0,2,252
2020-04-07,China,Guangxi,254,0,2,252
2020-04-08,China,Guangxi,254,0,2,252
2020-04-09,China,Guangxi,254,0,2,252
2020-04-10,China,Guangxi,254,0,2,252
2020-04-11,China,Guangxi,254,0,2,252
2020-04-12,China,Guangxi,254,0,2,252
2020-04-13,China,Guangxi,254,0,2,252
2020-04-14,China,Guangxi,254,0,2,252
2020-04-15,China,Guangxi,254,0,2,252
2020-04-16,China,Guangxi,254,0,2,252
