adm0_name,adm1_name,adm1_id,adm2_name,adm3_name,date,policy,policy_intensity,travel_ban_intl_out_country_list,travel_ban_intl_in_country_list,no_gathering_size,Optional,Notes,source,access_date
USA,all,all,all,all,2/24/2020,travel_ban_intl_in,1,NA,South korea,NA,N,"Travelers returning from South Korea should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020
USA,all,all,all,all,2/24/2020,travel_ban_intl_out,1,South korea,NA,NA,Y,travel warning - level 3 ,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020
USA,all,all,all,all,2/24/2020,travel_ban_intl_out,1,"Iran, Italy",NA,NA,Y,travel warning - level 2,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020
USA,all,all,all,all,2/28/2020,travel_ban_intl_in,1,NA,Iran,NA,N,"Stay home, monitor your health, and practice social distancing for 14 days after you return from travel. Social distancing means staying out of crowded places, avoiding group gatherings, and maintaining distance (approximately 6 feet or 2 meters) from others when possible.",https://wwwnc.cdc.gov/travel/notices,3/14/2020
USA,all,all,all,all,2/28/2020,travel_ban_intl_out,1,Iran,NA,NA,Y,CDC recommends that travelers avoid all nonessential travel to Iran.,https://wwwnc.cdc.gov/travel/notices,3/14/2020
USA,all,all,all,all,3/4/2020,travel_ban_intl_in,1,NA,"China, Iran",NA,N,mandates that all flights from China & Iran land at specific airports - screening passengers and can prevent entry,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020
USA,all,all,all,all,3/8/2020,event_cancel,1,NA,NA,NA,N,"2020 BNP Paribas Open, major tennis tournament in California, one of the first U.S. sporting events canceled due to coronavirus concerns.",https://www.mycouriertribune.com/covid--timeline/article_9d799948-671d-11ea-bb57-dfe928dcdeab.html,3/17/2020
USA,all,all,all,all,3/11/2020,travel_ban_intl_out,1,all,NA,NA,Y,Travel warning - level 2,https://www.nga.org/coronavirus/#states,3/14/2020
USA,all,all,all,all,3/11/2020,travel_ban_intl_out,1,"Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, Monaco, San Marino, Vatican City",NA,NA,Y,CDC recommends that travelers avoid all nonessential travel to the specified countries in Europe.,https://wwwnc.cdc.gov/travel/notices/warning/coronavirus-europe,3/14/2020
USA,all,all,all,all,3/11/2020,travel_ban_intl_in,1,NA,"Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, Monaco, San Marino, Vatican City",NA,N,"Travelers returning from the specified countries in Europe should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices/warning/coronavirus-europe,3/14/2020
USA,all,all,all,all,3/12/2020,event_cancel,1,NA,NA,NA,N,"NHL, MLB, NCAA, and MBA cencel sporting events",https://www.mycouriertribune.com/covid--timeline/article_9d799948-671d-11ea-bb57-dfe928dcdeab.html,3/17/2020
USA,all,all,all,all,3/12/2020,travel_ban_intl_out,1,"Iran, China, South Korea",NA,NA,Y,avoid all non-essential travel,https://wwwnc.cdc.gov/travel/notices,3/15/2020
USA,all,all,all,all,3/13/2020,emergency_declaration,1,NA,NA,NA,NA,National Emergency,https://www.nga.org/coronavirus/#states,3/14/2020
USA,all,all,all,all,3/14/2020,paid_sick_leave,1,NA,NA,NA,N,12 weeks of job protected leave if child's school closed or the child-care provider is sick due to COVID-19,http://blogs.edweek.org/edweek/campaign-k-12/2020/03/coronavirus-paid-leave-school-closures-student-meals-advances.html,3/15/2020
USA,all,all,all,all,3/15/2020,travel_ban_intl_in,1,NA,"England, Scotland, Wales, Northern Ireland, Ireland",NA,N,"Travelers returning from the United Kingdom or Ireland should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/15/2020
USA,all,all,all,all,3/15/2020,travel_ban_intl_out,1,"England, Scotland, Wales, Northern Ireland, Ireland",NA,NA,Y,avoid all non-essential travel,https://wwwnc.cdc.gov/travel/notices,3/15/2020
USA,all,all,all,all,3/15/2020,no_gathering,1,NA,NA,50,Y,limited gathering size,https://www.cdc.gov/coronavirus/2019-ncov/community/large-events/mass-gatherings-ready-for-covid-19.html,3/16/2020
USA,all,all,all,all,3/17/2020,travel_ban_intl_in,1,NA,"China, Iran, Schengen Area",NA,N,"mandates that all flights from China, Iran, or the Schengan Area land at specific airports - screening passengers and can prevent entry",https://www.dhs.gov/publication/notices-arrival-restrictions-coronavirus,3/17/2020
USA,all,all,all,all,3/17/2020,travel_ban_intl_out,1,all,NA,NA,Y,"Travel warning - level 3 - avoid all non-essential travel, defer all cruise travel",https://www.nga.org/coronavirus/#states,3/14/2020
USA,all,all,all,all,3/18/2020,travel_ban_intl_in,1,NA,Malaysia,NA,N,"Travelers returning should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,3/18/2020,travel_ban_intl_out,1,Malaysia,NA,NA,Y,CDC recommends that travelers avoid all nonessential travel ,https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,3/19/2020,travel_ban_intl_in,1,NA,"China, Iran, Schengen Area, UK and Ireland",NA,N,"mandates that all flights from China, Iran, Schengen Area, UK and Ireland land at specific airports - screening passengers and can prevent entry",https://www.dhs.gov/publication/notices-arrival-restrictions-coronavirus,3/17/2020
USA,all,all,all,all,3/19/2020,travel_ban_intl_out,1,all,NA,NA,N,"Level 4 Warning: The Department of State advises U.S. citizens to avoid all international travel due to the global impact of COVID-19. In countries where commercial departure options remain available, U.S. citizens who live in the United States should arrange for immediate return to the United States, unless they are prepared to remain abroad for an indefinite period. U.S. citizens who live abroad should avoid all international travel. Many countries are experiencing COVID-19 outbreaks and implementing travel restrictions and mandatory quarantines, closing borders, and prohibiting non-citizens from entry with little advance notice. Airlines have cancelled many international flights and several cruise operators have suspended operations or cancelled trips. If you choose to travel internationally, your travel plans may be severely disrupted, and you may be forced to remain outside of the United States for an indefinite timeframe.",https://travel.state.gov/content/travel/en/traveladvisories/ea/travel-advisory-alert-global-level-4-health-advisory-issue.html,3/25/2020
USA,all,all,all,all,3/19/2020,travel_ban_intl_in,1,NA,all,NA,N,"Level 4 Warning: The Department of State advises U.S. citizens to avoid all international travel due to the global impact of COVID-19. In countries where commercial departure options remain available, U.S. citizens who live in the United States should arrange for immediate return to the United States, unless they are prepared to remain abroad for an indefinite period. U.S. citizens who live abroad should avoid all international travel. Many countries are experiencing COVID-19 outbreaks and implementing travel restrictions and mandatory quarantines, closing borders, and prohibiting non-citizens from entry with little advance notice. Airlines have cancelled many international flights and several cruise operators have suspended operations or cancelled trips. If you choose to travel internationally, your travel plans may be severely disrupted, and you may be forced to remain outside of the United States for an indefinite timeframe.",https://travel.state.gov/content/travel/en/traveladvisories/ea/travel-advisory-alert-global-level-4-health-advisory-issue.html,3/25/2020
USA,all,all,all,all,3/21/2020,travel_ban_intl_in,1,NA,"Canada, Israel, Brazil, Australia, Japan",NA,N,"Travelers returning should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,3/21/2020,travel_ban_intl_out,1,"Canada, Israel, Brazil, Australia, Japan",NA,NA,Y,CDC recommends that travelers avoid all nonessential travel ,https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,3/23/2020,travel_ban_intl_in,1,NA,"Thailand, Turkey, Chile, Pakistan",NA,N,"Travelers returning should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,3/23/2020,travel_ban_intl_out,1,"Thailand, Turkey, Chile, Pakistan",NA,NA,Y,CDC recommends that travelers avoid all nonessential travel ,https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,3/24/2020,travel_ban_intl_in,1,NA,"Romania, Qatar, Singapore, Saudi Arabia, Philippines, Ecuador, South Africa, India",NA,N,"Travelers returning should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,3/24/2020,travel_ban_intl_out,1,"Romania, Qatar, Singapore, Saudi Arabia, Philippines, Ecuador, South Africa, India",NA,NA,Y,CDC recommends that travelers avoid all nonessential travel ,https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,3/25/2020,travel_ban_intl_in,1,NA,Russia,NA,N,"Travelers returning should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,3/25/2020,travel_ban_intl_out,1,Russia,NA,NA,Y,CDC recommends that travelers avoid all nonessential travel ,https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,Arkansas,AR,all,all,3/19/2020,work_from_home,1,NA,NA,NA,N,"the state will move to telecommuting, with on-site work limited to employees needed for the proper function of government.",https://www.usnews.com/news/best-states/arkansas/articles/2020-03-19/agency-number-of-arkansas-coronavirus-cases-rises-to-46,3/26/2020
USA,Arkansas,AR,all,all,3/19/2020,school_closure,1,NA,NA,NA,N,schools will remain closed for an additional three weeks through April 17,https://www.usnews.com/news/best-states/arkansas/articles/2020-03-19/agency-number-of-arkansas-coronavirus-cases-rises-to-46,3/26/2020
USA,Arkansas,AR,all,all,3/19/2020,business_closure,1,NA,NA,NA,N,"a directive closing in-person operations of all barbers, body art establishments and schools, cosmetology establishments, massage therapy clinics/spas, and medical spas",https://www.thv11.com/article/news/local/state-health-officials-barbershops-tattoo-shops-salons-to-cease-operation-amid-coronavirus-pandemic/91-c0518939-f434-44d5-9f22-47a71cc7f745,3/26/2020
USA,Arkansas,AR,all,all,3/11/2020,emergency_declaration,1,NA,NA,NA,NA,an executive order to declare a public health emergency to facilitate coordination and provide increased support to state agencies that are involved in response to the virus.,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-03._.pdf,3/17/2020
USA,Arkansas,AR,all,all,3/17/2020,school_closure,0.5,NA,NA,NA,N,he Governor closed all public schools starting March 17 for on-site instruction until the end of Spring Break.,https://www.thv11.com/article/news/health/coronavirus/coronavirus-in-arkansas-update-covid-19/91-38399170-8be9-4f07-b837-c56c963dbc6a,3/17/2020
USA,Arkansas,AR,all,all,3/12/2020,pos_cases_quarantine,1,NA,NA,NA,N,"if exposed or recently traveled, stay home",https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus,3/15/2020
USA,Arkansas,AR,all,all,3/17/2020,business_closure,0.5,NA,NA,NA,N,state’s three casinos to close for two weeks. He also announced that he was easing requirements for applying for unemployment benefits to help people who lose their jobs as businesses close or scale back operations.,https://www.arkansasonline.com/news/2020/mar/18/no-new-state-cases-but-closures-go-on-2/,3/26/2020
USA,Arkansas,AR,all,all,3/19/2020,social_distance,0.5,NA,NA,NA,N,"banned sit-down service at all restaurants and bars. Due to dining restrictions, the state is temporarily allowing restaurants to sell beer and wine for takeout or delivery with the purchase of food.",https://www.usnews.com/news/best-states/arkansas/articles/2020-03-19/agency-number-of-arkansas-coronavirus-cases-rises-to-46,3/26/2020
USA,Arkansas,AR,all,all,3/13/2020,social_distance,0.25,NA,NA,NA,N,"prohibited visitation of long-term care facilities (i.e. nursing homes, residential care facilities, assisted living facilities, post-acute head injury retraining and residential care facilities, and any other facility that provides long-term medical or personal care.)",https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus,3/15/2020
USA,Arkansas,AR,all,all,3/20/2020,social_distance,0.75,NA,NA,NA,N,Suspends provisions that require an in-person encounter or a face-to-face examination to allow time audio and visual means to establish a professional relationship;,https://governor.arkansas.gov/news-media/press-releases/governor-hutchinsons-weekly-address-tough-time-calls-for-telemedicine,3/30/2020
USA,Arkansas,AR,all,all,3/24/2020,social_distance,1,NA,NA,NA,N,"a directive closing in-person operations of all barbers, body art establishments and schools, cosmetology establishments, massage therapy clinics/spas, and medical spas. executive order 20-05 to leverage telehealth allowing doctors to intake new patient over the phone.",https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-05.pdf,3/30/2020
USA,American Samoa,AS,all,all,3/22/2020,emergency_declaration,1,NA,NA,NA,NA,govenor announced state of emergency,http://www.samoagovt.ws/2020/03/coronavirus-covid19-21-march-2020-emergency-orders-amendment/,3/26/2020
USA,American Samoa,AS,all,all,3/22/2020,travel_ban_intl_in,1,NA,all,NA,N,suspends all international travel to/from,http://www.samoagovt.ws/2020/03/coronavirus-covid19-21-march-2020-emergency-orders-amendment/,3/26/2020
USA,American Samoa,AS,all,all,3/22/2020,travel_ban_intl_out,1,all,NA,NA,N,suspends all international travel to/from,http://www.samoagovt.ws/2020/03/coronavirus-covid19-21-march-2020-emergency-orders-amendment/,3/26/2020
USA,American Samoa,AS,all,all,3/22/2020,no_gathering,1,NA,NA,5,N,Prohibits public gatherings of more than five people at any public space;,http://www.samoagovt.ws/2020/03/coronavirus-covid19-21-march-2020-emergency-orders-amendment/,3/26/2020
USA,American Samoa,AS,all,all,3/22/2020,school_closure,1,NA,NA,NA,N,Closes all schools until further notice.,http://www.samoagovt.ws/2020/03/coronavirus-covid19-21-march-2020-emergency-orders-amendment/,3/26/2020
USA,American Samoa,AS,all,all,3/22/2020,transit_suspension,1,NA,NA,NA,N,Prohibits the operation of public transport such as buses and vans that carry more than five people;,http://www.samoagovt.ws/2020/03/coronavirus-covid19-21-march-2020-emergency-orders-amendment/,3/26/2020
USA,American Samoa,AS,all,all,3/22/2020,social_distance,1,NA,NA,NA,N,"Limits public access to flea markets or any market which the public have access to within set hours; Prohibits street vendors from selling any goods beside roads, streets, culverts, or footpaths; and the closing of all public parks and facilities (toilets) will be closed starting March 22, 2020 until further notice.",http://www.samoagovt.ws/2020/03/coronavirus-covid19-21-march-2020-emergency-orders-amendment/,3/26/2020
USA,American Samoa,AS,all,all,3/25/2020,paid_sick_leave,1,NA,NA,NA,N,"Suspending the restrictions on “hazard pay” for medical personnel, first responders, and other employees with an increased risk and exposure; Suspending the maximum grant of four (4) hours for excused absences to state personnel under quarantine or unable to attend work; and",https://6fe16cc8-c42f-411f-9950-4abb1763c703.filesusr.com/ugd/4bfff9_1199b0a229ea45d2b25d4eda6c869d50.pdf,3/30/2020
USA,American Samoa,AS,all,all,3/20/2020,travel_ban_intl_in,0.5,NA,all,NA,N,their declaration of continued public health emergency and state of emergency suspending all entry permits until further notice.,https://6fe16cc8-c42f-411f-9950-4abb1763c703.filesusr.com/ugd/4bfff9_1c53b436c80f431f8238212df0a9bf6e.pdf,3/30/2020
USA,Arizona,AZ,all,all,3/23/2020,business_closure,1,NA,NA,NA,N,"executive order clarifying businesses and operations deemed “essential” by the state and providing certainty to business owners, employees, families and allowing child care to remain open.",https://azgovernor.gov/governor/news/2020/03/list-essential-services,3/25/2020
USA,Arizona,AZ,all,all,3/25/2020,social_distance,1,NA,NA,NA,N,"State agencies and boards will defer requirements to renew licenses that have an expiration date between March 1, 2020 and September 1, 2020 by six months from the expiration date; State agencies and boards will suspend any rules that prevent or limit the amount of online or alternative learning hours permitted to issue or renew a license; and State agencies and boards will issue provisional licenses to applicants who have met all other requirements of Arizona statute and administrative code but cannot take the exam remotely.",https://azgovernor.gov/sites/default/files/eo_2020-17_0.pdf,3/30/2020
USA,Arizona,AZ,all,all,3/19/2020,social_distance,0.67,NA,NA,NA,N,"Signing of an executive order that requires restaurants in counties with confirmed COVID-19 cases to provide dine-out options only, as well as the closure of all bars in those counties. The order allows restaurants to deliver alcoholic beverages with the purchase of food.",https://azgovernor.gov/governor/news/2020/03/governor-ducey-announces-latest-covid-19-actions,3/26/2020
USA,Arizona,AZ,all,all,3/16/2020,social_distance,0.33,NA,NA,NA,N,"The Governor announced the cancellation of large events and mass gatherings such as conferences, festivals, parades, concerts, sporting events, weddings and other types of assemblies.",https://twitter.com/dougducey/status/1239319812871876609,3/26/2020
USA,Arizona,AZ,all,all,3/11/2020,emergency_declaration,1,NA,NA,NA,NA,Governor Ducey issued a Declaration of Emergency and an Executive Order to provide health officials and administrators with tools and guidance necessary to combat the continued spread of COVID-19 and to reduce financial burdens on Arizonans by lowering healthcare costs associated with the virus.,https://azgovernor.gov/governor/news/2020/03/video-governor-ducey-adhs-director-dr-christ-announce-declaration-emergency,3/17/2020
USA,Arizona,AZ,all,all,3/16/2020,school_closure,0.5,NA,NA,NA,N,"the closure of all schools from Monday, March 16, 2020 through Friday, March 27, 2020.",https://azgovernor.gov/governor/blog/2020/03/open-letter-arizona-families-educators-school-leaders-and-education-community,3/17/2020
USA,Arizona,AZ,all,all,3/23/2020,work_from_home,1,NA,NA,NA,N,"when possible, and if non essential, businesses should work remote",https://www.nga.org/wp-content/uploads/2020/03/Memorandum-on-Overview-of-State-Actions-on-Business-Closure-and-Personal-Movement-Restrictions-in-Response-to-COVID-19_3.25.pdf,3/25/2020
USA,Arizona,AZ,all,all,3/16/2020,no_gathering,1,NA,NA,NA,Y,50 people or more,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,3/15/2020
USA,Arizona,AZ,all,all,3/16/2020,pos_cases_quarantine,1,NA,NA,NA,Y,stay home when sick,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,3/15/2020
USA,Arizona,AZ,all,all,3/20/2020,school_closure,1,NA,NA,NA,N,"a two-week extension of school closures through April 10, 2020.",https://azgovernor.gov/governor/news/2020/03/governor-ducey-superintendent-hoffman-announce-two-week-extension-school,3/26/2020
USA,California,CA,all,all,3/5/2020,paid_sick_leave,1,NA,NA,NA,Y,employee support services,https://www.nga.org/coronavirus/#states,3/14/2020
USA,California,CA,all,all,3/4/2020,emergency_declaration,1,NA,NA,NA,NA,state of emergency,https://www.nga.org/coronavirus/#states,3/14/2020
USA,California,CA,Santa Clara,all,3/9/2020,work_from_home,1,NA,NA,NA,Y,"businesses to adjust workplace (i.e. remote, staggering start/ends, flexibile sick leave)",https://www.cdc.gov/coronavirus/2019-ncov/downloads/Santa-Clara_Community_Mitigation.pdf,3/14/2020
USA,California,CA,Santa Clara,all,3/9/2020,pos_cases_quarantine,1,NA,NA,NA,Y,self-quaranting for sick/high risk individuals,https://www.cdc.gov/coronavirus/2019-ncov/downloads/Santa-Clara_Community_Mitigation.pdf,3/14/2020
USA,California,CA,Santa Clara,all,3/11/2020,no_gathering,1,NA,NA,1000,N,limit gathering size to 1000,https://www.sccoe.org/news/featured/PublishingImages/Pages/Novel-Coronavirus-Information/03-09-20-Updated-Guidance-and-Orders%20ENGLISH.pdf,3/14/2020
USA,California,CA,Los Angeles,all,3/17/2020,school_closure,1,NA,NA,NA,N,school closure,https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus,3/14/2020
USA,California,CA,Orange,all,3/17/2020,school_closure,1,NA,NA,NA,N,school closure,https://www.nbclosangeles.com/news/local/socal-public-school-closures/2328932/,3/14/2020
USA,California,CA,Riverside,all,3/17/2020,school_closure,1,NA,NA,NA,N,school closure,https://www.nbclosangeles.com/news/local/socal-public-school-closures/2328932/,3/14/2020
