adm0_name,adm1_name,adm1_id,adm2_name,adm3_name,date,policy,travel_ban_intl_out_country_list,travel_ban_intl_in_country_list,no_gathering_size,optional,notes,source,access_date,intensity_group,intensity_group2,intensity_group3,intensity_group4,intensity_group5
USA,Alabama,AL,all,all,3/27/2020,school_closure,NA,NA,NA,N,"Closing in-person instruction or classes at all schools, public and private",https://governor.alabama.gov/assets/2020/03/Amended-Statewide-Social-Distancing-SHO-Order-3.27.2020-FINAL.pdf,4/9/2020,school closure ,,,,
USA,Alabama,AL,all,all,3/10/2020,social_distance,NA,NA,NA,Y,"It urges state employees to practice common sense if traveling in areas known to have coronavirus infections and to consider using technology in place of face-to-face meetings. directing state employees to notify their department heads, supervisors, and human resource offices if they have traveled in areas affected by the coronavirus. ",https://www.nga.org/coronavirus/#states,3/14/2020,Suspends/restricts non-critical state operations/govt services - optional,,,,
USA,Alabama,AL,all,all,3/16/2020,social_distance,NA,NA,NA,N,"directors of all state agencies to implement different telework, flexible work schedules and social distancing practices for the next three weeks.",https://whnt.com/news/coronavirus/gov-ivey-directs-alabama-agencies-to-allow-flexible-work-schedules-for-employees-due-to-coronavirus/,4/9/2020,Suspends/restricts non-critical state operations/govt services,,,,
USA,Alabama,AL,all,all,3/19/2020,social_distance,NA,NA,NA,N,"all beaches are closed, all visitation prohibited to Hospitals and Nursing Home/Long Term Care Facilities, All elective dental and medical procedures shall be delayed. ",https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,3/26/2020,closes outdoor facilities,Restricts or requires social distance for visitation to certain facilities,,,
USA,Alabama,AL,all,all,3/26/2020,social_distance,NA,NA,NA,N,Allows notaries to notarize signatures through videoconferences; Requires all public K-12 schools to implement a plan to complete the 2019-2020 school year using alternate methods of instruction; Authorizes law enforcement officers to issue summons and complaint in lieu of custodial arrest for any violation or misdemeanor in certain circumstances; and,https://governor.alabama.gov/newsroom/2020/03/fourth-supplemental-state-of-emergency-coronavirus-covid-19/,4/9/2020,Restricts or requires social distance for visitation to certain facilities,Suspends/restricts non-critical state operations/govt services,,,
USA,Alabama,AL,all,all,3/27/2020,social_distance,NA,NA,NA,N,"Suspending all dental, medical, or surgical procedures with emergency medical exception; Prohibiting visitors to all Hospitals and Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities); and",https://governor.alabama.gov/assets/2020/03/Amended-Statewide-Social-Distancing-SHO-Order-3.27.2020-FINAL.pdf,4/7/2020,Restricts or requires social distance for visitation to certain facilities,,,,
USA,Alabama,AL,all,all,3/28/2020,social_distance,NA,NA,NA,N,"Effective March 28, 2020, at 5:00 P.M., all beaches shall be closed. For purposes of this section, the term “beach” means the sandy shoreline area abutting the Gulf of Mexico, whether privately or publicly owned, including beach access points. ",https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,4/9/2020,closes public facilities,,,,
USA,Alabama,AL,all,all,4/4/2020,social_distance,NA,NA,NA,N,An employee of the essential retailer place may not knowingly allow customers or patrons to congregate within six feet of one another.  A person may leave his or her place of residence to participate in outdoor activity that involves fewer than 10 people so long as the person maintains a consistent six-foot distance from other persons.,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,4/9/2020,requires social distancing standards anywhere outside home,,,,
USA,Alabama,AL,all,all,3/28/2020,travel_ban_local,NA,NA,NA,N,"A person may leave his or her place of residence to travel as required by law enforcement or court order, including the transportation of children required by a custody agreement.",https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,4/9/2020,limit all non essential within state travel,,,,
USA,Alabama,AL,all,all,3/16/2020,work_from_home,NA,NA,NA,Y,"directors of all state agencies to implement different telework, flexible work schedules and social distancing practices for the next three weeks.",https://whnt.com/news/coronavirus/gov-ivey-directs-alabama-agencies-to-allow-flexible-work-schedules-for-employees-due-to-coronavirus/,3/26/2020,govt employees work from home,,,,
USA,Alaska,AK,all,all,3/18/2020,business_closure,NA,NA,NA,N,"a ban on all bars, breweries, restaurants, food and beverage kiosks or trucks, and other establishments serving food or beverages for public dine-in service.",https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-003.pdf,3/26/2020,food/drink closure,,,,
USA,Alaska,AK,Fairbanks North Star,all,3/20/2020,business_closure,NA,NA,NA,N,"Health Mandata 007: All businesses, congregations, or gatherings in the State of Alaska, where individuals are within six feet of each other must stop all operations.",https://gov.alaska.gov/home/covid19-healthmandates/,4/9/2020,all non-essentials,,,,
USA,Alaska,AK,Ketchikan Gateway,all,3/20/2020,business_closure,NA,NA,NA,N,"Health Mandata 007:  All businesses, congregations, or gatherings in the State of Alaska, where individuals are within six feet of each other must stop all operations.",https://gov.alaska.gov/home/covid19-healthmandates/,4/9/2020,all non-essentials,,,,
USA,Alaska,AK,all,all,3/24/2020,business_closure,NA,NA,NA,N,"All businesses, congregations, or gatherings in the State of Alaska, where individuals are within six feet of each other must stop all operations.",https://content.govdelivery.com/accounts/AKDHSS/bulletins/282d194,4/9/2020,all non-essentials,,,,
USA,Alaska,AK,all,all,3/28/2020,business_closure,NA,NA,NA,N,The Governor orders the closure of all non-essential businesses,https://gov.alaska.gov/home/covid19-healthmandates/,4/7/2020,all non-essentials,,,,
USA,Alaska,AK,all,all,3/11/2020,emergency_declaration,NA,NA,NA,NA,public health Emergency,https://www.nga.org/coronavirus/#states,3/14/2020,emergency declaration,,,,
USA,Alaska,AK,Fairbanks North Star,all,3/20/2020,no_gathering,NA,NA,10,N,"Health Mandata 007:  no gatherings of more than 10 people may take place, and if a gathering does take place people must be six feet apart from each other.",https://gov.alaska.gov/home/covid19-healthmandates/,4/9/2020,no_gathering_5_49,,,,
USA,Alaska,AK,Ketchikan Gateway,all,3/20/2020,no_gathering,NA,NA,10,N,"Health Mandata 007:  no gatherings of more than 10 people may take place, and if a gathering does take place people must be six feet apart from each other.",https://gov.alaska.gov/home/covid19-healthmandates/,4/9/2020,no_gathering_5_49,,,,
USA,Alaska,AK,all,all,3/24/2020,no_gathering,NA,NA,10,N,"Additionally no gatherings of more than 10 people may take place, and if a gathering does take place people must be 6 feet apart from each other.",https://gov.alaska.gov/home/covid19-healthmandates/,4/7/2020,no_gathering_5_49,,,,
USA,Alaska,AK,all,all,3/16/2020,school_closure,NA,NA,NA,N,"Public and private schools are closed to students. Additionally, residential school programs will begin the process of sending students to their families and home communities by March 27.",https://education.alaska.gov/safeschools/infectiousdisease,5/11/2020,school closure ,,,,
USA,Alaska,AK,all,all,3/13/2020,social_distance,NA,NA,NA,N,"suspended visitation for certian facilities (i.e. dept of corrections, juvenile justice facilities, military youth academy, Alaska psychiatric institute)",https://gov.alaska.gov/newsroom/2020/03/13/governor-issues-first-covid-19-health-mandate/,3/26/2020,Restricts or requires social distance for visitation to certain facilities,,,,
USA,Alaska,AK,all,all,3/17/2020,social_distance,NA,NA,NA,N,"second COVID-19 health mandate closing state operated libraries, archives, and museums to the public from March 17, 2020 through March 31, 2020.",https://gov.alaska.gov/wp-content/uploads/sites/2/03.16.20-COVID-19-Health-Mandate-002.pdf,3/26/2020,closes public facilities,,,,
USA,Alaska,AK,all,all,3/19/2020,social_distance,NA,NA,NA,N,"All patients, providers, hospitals and surgical centers are required to postpone or cancel all non-urgent or elective procedures for three months to decrease the overall impact on the Alaska health care structure and preserve personal protective equipment.",https://gov.alaska.gov/home/covid19-healthmandates/,4/7/2020,Restricts or requires social distance for visitation to certain facilities,,,,
USA,Alaska,AK,all,all,3/24/2020,social_distance,NA,NA,NA,N,"All businesses, congregations, or gatherings in the State of Alaska, where individuals are within six feet of each other must stop all operations. The purpose of this mandate is to limit all close contacts (people outside of a family unit) to be within 6 feet of each other to prevent the spread of the virus that causes COVID-19.",https://gov.alaska.gov/home/covid19-healthmandates/,4/7/2020,requires social distancing standards anywhere outside home,,,,
USA,Alaska,AK,all,all,3/28/2020,social_distance,NA,NA,NA,N,Health Mandate 009 Personal Care Services & Gatherings Statewide to limit all close contacts (people outside of a family unit) to be farther than six feet from each other to prevent the spread of the virus that causes COVID-19.,https://content.govdelivery.com/accounts/AKDHSS/bulletins/282d194,3/30/2020,requires social distancing standards anywhere outside home,,,,
USA,Alaska,AK,all,all,3/17/2020,travel_ban_intl_in,NA,"South Korea, China, Austria, Belgium, Czech Republic, Denmark Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtensteing, Lithuania, Luxembourg Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain Sweden, Switzerland, Monaco, San Marino, Vatican City",NA,N,COVID-19 Health Mandate 004 pertaining to travelers coming into Alaska from CDC Level 3 countries (high risk) and anywhere outside of Alaska (medium risk) within the last 14 days. The Mandate also provides guidance for what travelers should do upon returning to Alaska.,https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-004.pdf,3/26/2020,advisory,,,,
USA,Alaska,AK,all,all,3/25/2020,travel_ban_intl_in,NA,all,NA,N,"Health Mandate 010: International and Interstate Travel, Order for Self-Quarantine requiring all people arriving in Alaska, whether resident, worker or visitor, to self-quarantine for 14 days and monitor for illness.",https://gov.alaska.gov/home/covid19-healthmandates/,3/26/2020,any inbound travelers quarantine,,,,
USA,Alaska,AK,all,all,3/28/2020,travel_ban_local,all,all,NA,N,"All in-state travel between communities, whether resident, worker, or visitor, is prohibited unless travel is to support critical infrastructure, or for critical personal needs. Certain Small Alaskan communities may implement further travel restriction pursuant to “Alaska Small Community Emergency Travel Order – Attachment B.”",https://gov.alaska.gov/home/covid19-healthmandates/,3/26/2020,limit all non essential within state travel,,,,
USA,Alaska,AK,all,all,3/28/2020,travel_ban_local,NA,NA,NA,N,"Health Mandate 010: Order for Self-Quarantine requiring all people arriving in Alaska, whether resident, worker or visitor, to self-quarantine for 14 days and monitor for illness.",https://gov.alaska.gov/home/covid19-healthmandates/,3/30/2020,inbound quarantine,,,,
USA,Alaska,AK,all,all,3/28/2020,work_from_home,NA,NA,NA,N,The Governor orders individuals to abide by the following,https://gov.alaska.gov/home/covid19-healthmandates/,4/7/2020,work from home,,,,
USA,all,all,all,all,1/31/2020,emergency_declaration,NA,NA,NA,NA,Public Health Emergency,http://www.p12.nysed.gov/sss/documents/FINALJointNYSDOH-NYSEDCoronavirus020520.pdf,3/14/2020,emergency declaration,,,,
USA,all,all,all,all,2/2/2020,travel_ban_intl_in,NA,China,NA,N,mandates that all flights from China land at specific airports - screening passengers and can prevent entry,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020,China,,,,
USA,all,all,all,all,2/2/2020,travel_ban_intl_in,all,NA,NA,N,suspend immigrants/nonimmigrants who may have COVID-19,https://www.whitehouse.gov/presidential-actions/proclamation-suspension-entry-immigrants-nonimmigrants-persons-pose-risk-transmitting-2019-novel-coronavirus/,3/14/2020,no inbound travel,,,,
USA,all,all,all,all,2/6/2020,travel_ban_intl_in,NA,China,NA,N,"Travelers returning from China should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020,advisory,,,,
USA,all,all,all,all,2/6/2020,travel_ban_intl_out,China,NA,NA,Y,level 4 - CDC recommends that travelers avoid all nonessential travel to China.,https://wwwnc.cdc.gov/travel/notices,3/25/2020,level 4,,,,
USA,all,all,all,all,2/19/2020,travel_ban_intl_out,"Hong Kong, Japan",NA,NA,Y,travel warning - level 1,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020,level 1,,,,
USA,all,all,all,all,2/22/2020,travel_ban_intl_out,japan,NA,NA,Y,travel warning - level 2,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020,level 2,,,,
USA,all,all,all,all,2/22/2020,travel_ban_intl_out,South korea,NA,NA,Y,travel warning - level 2,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020,level 2,,,,
USA,all,all,all,all,2/23/2020,travel_ban_intl_out,"Iran, Ialy",NA,NA,Y,travel warning - level 1,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020,level 1,,,,
USA,all,all,all,all,2/24/2020,travel_ban_intl_in,NA,South korea,NA,N,"Travelers returning from South Korea should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020,South Korea,,,,
USA,all,all,all,all,2/24/2020,travel_ban_intl_out,South korea,NA,NA,Y,travel warning - level 3 ,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020,level 3,,,,
USA,all,all,all,all,2/24/2020,travel_ban_intl_out,"Iran, Italy",NA,NA,Y,travel warning - level 2,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020,level 2,,,,
USA,all,all,all,all,2/28/2020,travel_ban_intl_in,NA,Iran,NA,N,"Stay home, monitor your health, and practice social distancing for 14 days after you return from travel. Social distancing means staying out of crowded places, avoiding group gatherings, and maintaining distance (approximately 6 feet or 2 meters) from others when possible.",https://wwwnc.cdc.gov/travel/notices,3/14/2020,advisory,,,,
USA,all,all,all,all,2/28/2020,travel_ban_intl_out,Iran,NA,NA,Y,level 4 - CDC recommends that travelers avoid all nonessential travel to Iran.,https://wwwnc.cdc.gov/travel/notices,3/14/2020,level 4,,,,
USA,all,all,all,all,3/4/2020,travel_ban_intl_in,NA,"China, Iran",NA,N,mandates that all flights from China & Iran land at specific airports - screening passengers and can prevent entry,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020,China,Iran,,,
USA,all,all,all,all,3/11/2020,travel_ban_intl_in,NA,"Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, Monaco, San Marino, Vatican City",NA,N,"Travelers returning from the specified countries in Europe should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices/warning/coronavirus-europe,3/14/2020,advisory,,,,
USA,all,all,all,all,3/11/2020,travel_ban_intl_out,all,NA,NA,Y,Travel warning - level 2,https://www.nga.org/coronavirus/#states,3/14/2020,level 2,,,,
USA,all,all,all,all,3/11/2020,travel_ban_intl_out,"Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, Monaco, San Marino, Vatican City",NA,NA,Y,level 4 - CDC recommends that travelers avoid all nonessential travel to the specified countries in Europe.,https://wwwnc.cdc.gov/travel/notices/warning/coronavirus-europe,3/14/2020,level 4,,,,
USA,all,all,all,all,3/12/2020,event_cancel,NA,NA,NA,N,"NHL, MLB, NCAA, and MBA cancel sporting events",https://www.mycouriertribune.com/covid--timeline/article_9d799948-671d-11ea-bb57-dfe928dcdeab.html,3/17/2020,cancel one event,,,,
USA,all,all,all,all,3/12/2020,travel_ban_intl_out,"Iran, China, South Korea",NA,NA,Y,level 4 - avoid all non-essential travel,https://wwwnc.cdc.gov/travel/notices,3/15/2020,level 4,,,,
USA,all,all,all,all,3/13/2020,emergency_declaration,NA,NA,NA,NA,National Emergency declared by the whitehouse,https://www.whitehouse.gov/presidential-actions/proclamation-declaring-national-emergency-concerning-novel-coronavirus-disease-covid-19-outbreak/,3/14/2020,emergency declaration,,,,
USA,all,all,all,all,3/14/2020,paid_sick_leave,NA,NA,NA,N,12 weeks of job protected leave if child's school closed or the child-care provider is sick due to COVID-19,http://blogs.edweek.org/edweek/campaign-k-12/2020/03/coronavirus-paid-leave-school-closures-student-meals-advances.html,3/15/2020,subset of workers receive paid sick leave,,,,
USA,all,all,all,all,3/15/2020,no_gathering,NA,NA,50,Y,limited gathering size,https://www.cdc.gov/coronavirus/2019-ncov/community/large-events/mass-gatherings-ready-for-covid-19.html,3/16/2020,advisory,,,,
USA,all,all,all,all,3/15/2020,travel_ban_intl_in,NA,"England, Scotland, Wales, Northern Ireland, Ireland",NA,N,"Travelers returning from the United Kingdom or Ireland should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/15/2020,advisory,,,,
USA,all,all,all,all,3/15/2020,travel_ban_intl_out,"England, Scotland, Wales, Northern Ireland, Ireland",NA,NA,Y,level 4 - avoid all non-essential travel,https://wwwnc.cdc.gov/travel/notices,3/15/2020,level 4,,,,
USA,all,all,all,all,3/16/2020,pos_cases_quarantine,NA,NA,NA,Y,"If you feel sick, stay home. Do not go to work. Contact your medical provider. If your children are sick, keep them at home. Contact your medical provider. If someone in your household has tested positive for the Coronavirus, keep the entire household at home.",https://www.whitehouse.gov/articles/15-days-slow-spread/,5/10/2020,opt quarantine,,,,
USA,all,all,all,all,3/16/2020,social_distance,NA,NA,NA,Y,"If you are an older American, stay home and away from other people. If you are a person with a serious underlying health condition—such as a significant heart or lung problem—stay home and away from other people. Americans should continue practicing strict personal hygiene, including washing hands regularly for at least 20 seconds at a time and wiping down surfaces in the home often. Do not visit nurising homes or retirement or long term care facilities unless to provide critical assistance.",https://www.whitehouse.gov/articles/15-days-slow-spread/,5/10/2020,Isolate/quarantine certain populations - optional,Restricts or requires social distance for visitation to certain facilities - optional,requires social distancing standards anywhere outside home - optional,,
USA,all,all,all,all,3/16/2020,home_isolation,NA,NA,NA,Y,"avoid discretionary travel, shopping trips, and scoial visits.",https://www.whitehouse.gov/articles/15-days-slow-spread/,5/10/2020,opt shelter in place,,,,
USA,all,all,all,all,3/16/2020,no_gathering,NA,NA,10,Y,avoid social gatherings in groups of more than 10 people,https://www.whitehouse.gov/articles/15-days-slow-spread/,5/10/2020,advisory,,,,
USA,all,all,all,all,3/16/2020,work_from_home,NA,NA,NA,Y,work or engage in schooling from home whenever possible,https://www.whitehouse.gov/articles/15-days-slow-spread/,5/10/2020,opt work from home,,,,
USA,all,all,all,all,3/16/2020,school_closure,NA,NA,NA,Y,"school operations can accelerate the spread of coronavirus. Governors of states with evidence of community transmission should close schools in affected and surrounding areas. Governors should close schools in communities that are near areas of community transmission, even if those areas are in neighboring states. in addition state and local official should close schools where coronavirus has been identified in the population associated with teh school states and localities that close schools need to address cildcare needs of critical responders as well as the nutritional needs of children.",https://www.whitehouse.gov/articles/15-days-slow-spread/,5/10/2020,school closure - optional,,,,
USA,all,all,all,all,3/16/2020,business_closure,NA,NA,NA,Y,"in states with evidence of community transmission, bars, restaurants, food courts, gyms, and other indoor and outdoor venues where groups of people congregate should be closed.",https://www.whitehouse.gov/articles/15-days-slow-spread/,5/10/2020,food/drink closure ,,,,
USA,all,all,all,all,3/17/2020,travel_ban_intl_in,NA,"China, Iran, Schengen Area",NA,N,"mandates that all flights from China, Iran, or the Schengan Area land at specific airports - screening passengers and can prevent entry",https://www.dhs.gov/publication/notices-arrival-restrictions-coronavirus,3/17/2020,China,Iran,Europe,,
USA,all,all,all,all,3/17/2020,travel_ban_intl_out,all,NA,NA,Y,"Travel warning - level 3 - avoid all non-essential travel, defer all cruise travel",https://www.nga.org/coronavirus/#states,3/14/2020,level 3,,,,
USA,all,all,all,all,3/18/2020,travel_ban_intl_in,NA,Malaysia,NA,N,"Travelers returning should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020,advisory,,,,
USA,all,all,all,all,3/18/2020,travel_ban_intl_out,Malaysia,NA,NA,Y,level 4 -  CDC recommends that travelers avoid all nonessential travel ,https://wwwnc.cdc.gov/travel/notices,3/25/2020,level 4,,,,
USA,all,all,all,all,3/19/2020,travel_ban_intl_in,NA,"China, Iran, Schengen Area, UK and Ireland",NA,N,"mandates that all flights from China, Iran, Schengen Area, UK and Ireland land at specific airports - screening passengers and can prevent entry",https://www.dhs.gov/publication/notices-arrival-restrictions-coronavirus,3/17/2020,China,Iran,Europe,UK,Ireland
USA,all,all,all,all,3/19/2020,travel_ban_intl_in,NA,all,NA,N,"Level 4 Warning: The Department of State advises U.S. citizens to avoid all international travel due to the global impact of COVID-19. In countries where commercial departure options remain available, U.S. citizens who live in the United States should arrange for immediate return to the United States, unless they are prepared to remain abroad for an indefinite period. U.S. citizens who live abroad should avoid all international travel. Many countries are experiencing COVID-19 outbreaks and implementing travel restrictions and mandatory quarantines, closing borders, and prohibiting non-citizens from entry with little advance notice. Airlines have cancelled many international flights and several cruise operators have suspended operations or cancelled trips. If you choose to travel internationally, your travel plans may be severely disrupted, and you may be forced to remain outside of the United States for an indefinite timeframe.",https://travel.state.gov/content/travel/en/traveladvisories/ea/travel-advisory-alert-global-level-4-health-advisory-issue.html,3/25/2020,advisory,,,,
USA,all,all,all,all,3/19/2020,travel_ban_intl_out,all,NA,NA,N,"Level 4: The Department of State advises U.S. citizens to avoid all international travel due to the global impact of COVID-19. In countries where commercial departure options remain available, U.S. citizens who live in the United States should arrange for immediate return to the United States, unless they are prepared to remain abroad for an indefinite period. U.S. citizens who live abroad should avoid all international travel. Many countries are experiencing COVID-19 outbreaks and implementing travel restrictions and mandatory quarantines, closing borders, and prohibiting non-citizens from entry with little advance notice. Airlines have cancelled many international flights and several cruise operators have suspended operations or cancelled trips. If you choose to travel internationally, your travel plans may be severely disrupted, and you may be forced to remain outside of the United States for an indefinite timeframe.",https://travel.state.gov/content/travel/en/traveladvisories/ea/travel-advisory-alert-global-level-4-health-advisory-issue.html,3/25/2020,level 4,,,,
USA,all,all,all,all,3/21/2020,travel_ban_intl_in,NA,"Canada, Israel, Brazil, Australia, Japan",NA,N,"Travelers returning should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020,advisory,,,,
USA,all,all,all,all,3/21/2020,travel_ban_intl_out,"Canada, Israel, Brazil, Australia, Japan",NA,NA,Y,level 4 - CDC recommends that travelers avoid all nonessential travel ,https://wwwnc.cdc.gov/travel/notices,3/25/2020,level 4,,,,
USA,all,all,all,all,3/23/2020,travel_ban_intl_in,NA,"Thailand, Turkey, Chile, Pakistan",NA,N,"Travelers returning should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020,N/A: amendment,,,,
USA,all,all,all,all,3/23/2020,travel_ban_intl_out,"Thailand, Turkey, Chile, Pakistan",NA,NA,Y,level 4 - CDC recommends that travelers avoid all nonessential travel ,https://wwwnc.cdc.gov/travel/notices,3/25/2020,level 4,,,,
USA,all,all,all,all,3/24/2020,travel_ban_intl_in,NA,"Romania, Qatar, Singapore, Saudi Arabia, Philippines, Ecuador, South Africa, India",NA,N,"Travelers returning should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020,N/A: amendment,,,,
USA,all,all,all,all,3/24/2020,travel_ban_intl_out,"Romania, Qatar, Singapore, Saudi Arabia, Philippines, Ecuador, South Africa, India",NA,NA,Y,level 4 - CDC recommends that travelers avoid all nonessential travel ,https://wwwnc.cdc.gov/travel/notices,3/25/2020,level 4,,,,
USA,all,all,all,all,3/25/2020,travel_ban_intl_in,NA,Russia,NA,N,"Travelers returning should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020,N/A: amendment,,,,
